,CNOOC,State_Grid,PetroChina,CNNC ,Trina_Solar,Tokyo_Electric ,Brookfield ,BP,ConocoPhillips,Canadian_Solar ,Chevron,Duke_Energy,Enbridge,Enel,Eni,E.ON,Enterprise,Equinor,Energy_Transfer,Exelon,First_Solar ,Gazprom,Iberdrola,Indian_Oil,Inter_Rao,Kinder_Morgan,NextEra,NEL,Neste,Petrobras ,Rosneft,REW,Suncor,Tata_Power,Tullow_Oil,TC_Energy,Vestas,Williams,ExxonMobil 
753,12.03999996,14.60000038,5.46999979,7.050000191,61.93000031,494.0,35.84999847,32.81999969,114.9599991,33.43000031,176.0,111.7900009,46.93000031,5.953999996,14.07199955,9.510000229,28.13999939,36.75,12.01000023,48.99000168,74.23999786,296.0,10.78999996,78.43333435,3.3,19.95999908,78.51999664,14.11999989,43.34999847,13.75,368.75,40.79999924,40.41999817,234.1999969,53.5,58.90999985,175.3800049,37.74000168,97.66999817
754,12.03999996,14.60000038,5.46999979,7.050000191,61.93000031,507.0,35.79999924,32.97999954,118.1200027,33.09999847,177.6000061,111.1600037,46.81000137,5.90500021,14.25800037,9.510000229,28.10000038,37.11000061,11.85000038,48.72999954,74.93000031,297.0,10.81000042,78.8666687,3.2525,19.93000031,78.69000244,14.03999996,44.18999863,14.18000031,365.45,40.79999924,40.86999893,231.0500031,53.5,58.66999817,174.5,37.50999832,99.08999634
755,12.03999996,14.60000038,5.46999979,7.050000191,61.93000031,507.0,35.79999924,32.97999954,118.1200027,33.09999847,177.6000061,111.1600037,46.81000137,5.90500021,14.25800037,9.510000229,28.10000038,37.11000061,11.85000038,48.72999954,74.93000031,297.0,10.81000042,78.8666687,3.2525,19.93000031,78.69000244,14.03999996,44.18999863,14.18000031,365.45,40.79999924,40.86999893,231.0500031,53.5,58.66999817,174.5,37.50999832,99.08999634
756,12.19999981,14.63000011,5.5,6.96999979,65.84999847,492.0,36.68000031,33.09999847,117.3799973,35.61000061,176.8300018,111.1100006,47.11000061,6.028999805,14.43200016,9.645999908,28.15999985,37.06999969,11.85999966,48.54999924,71.98999786,296.5,10.89999962,78.3666687,3.26,19.79000092,80.19000244,14.03999996,44.47000122,14.02000046,368.8,41.0,41.31000137,232.25,54.75,58.38999939,174.5,37.40999985,98.83999634
757,12.10000038,14.23999977,5.5,6.989999771,65.25,502.0,36.27999878,34.18999863,122.7099991,35.09000015,180.1999969,112.3399963,47.52999878,5.987999916,14.42800045,9.668000221,28.46999931,37.88000107,12.31000042,49.04999924,72.0,297.99,10.83500004,78.80000305,3.25,20.13999939,79.77999878,13.96500015,44.47999954,13.89999962,366.55,41.75999832,41.97000122,234.75,53.70000076,59.04999924,181.7400055,37.81999969,103.3700027
758,12.35999966,14.02999973,5.639999866,6.920000076,63.49000168,528.0,36.54999924,34.11999893,121.8600006,34.68999863,181.1300049,110.4899979,47.18000031,5.846000195,14.3920002,9.644000053,28.37000084,37.75,12.26000023,48.16999817,71.69000244,308.0,10.73999977,78.66666412,3.2385,19.86000061,78.48999786,14.24499989,45.95999908,13.78999996,372.85,41.36000061,42.49000168,233.0,56.40000153,58.77999878,182.6399994,37.49000168,104.5899963
759,11.42000008,13.77000046,5.800000191,6.989999771,62.79000092,523.0,36.56000137,33.52000046,118.5599976,34.02000046,177.5200043,107.7300034,46.16999817,5.729000092,14.02600002,9.574000359,28.12000084,36.88000107,12.03999996,46.65999985,69.83000183,306.5,10.59000015,78.8666687,3.005,19.29000092,77.33999634,13.02499962,45.11000061,13.51000023,373.25,41.04999924,41.77999878,233.0500031,55.15000153,57.24000168,179.7599945,35.59000015,102.3300018
760,11.38000011,13.85000038,5.889999866,6.980000019,62.70000076,508.0,36.15999985,32.45999908,116.8300018,32.34000015,175.3999939,107.7699966,45.54999924,5.480999947,13.23999977,9.522000313,27.62000084,35.88999939,11.64000034,46.00999832,68.0,309.2,10.31000042,78.16666412,3.14,19.03000069,75.91000366,12.60000038,43.0,13.21000004,369.5,40.70000076,41.31000137,230.25,55.04999924,56.83000183,175.5,34.88999939,100.4599991
761,11.38000011,13.85000038,5.889999866,6.980000019,62.70000076,508.0,36.15999985,32.45999908,116.8300018,32.34000015,175.3999939,107.7699966,45.54999924,5.480999947,13.23999977,9.522000313,27.62000084,35.88999939,11.64000034,46.00999832,68.0,309.2,10.31000042,78.16666412,3.14,19.03000069,75.91000366,12.60000038,43.0,13.21000004,369.5,40.70000076,41.31000137,230.25,55.04999924,56.83000183,175.5,34.88999939,100.4599991
762,11.27999973,13.56000042,5.889999866,6.769999981,60.20000076,509.0,34.63999939,31.21999931,111.7600021,30.15999985,167.3300018,103.4300003,44.0,5.388000011,12.97799969,9.326000214,26.68000031,34.02000046,11.06000042,43.68000031,63.13000107,309.2,10.10000038,75.73332977,3.14,18.12999916,72.41000366,12.11499977,41.5,12.59000015,369.5,38.97999954,39.56999969,219.5,53.15000153,54.95999908,163.2400055,33.11999893,95.84999847
